,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
2748,Lo! Foods,,,,SaaS,Bangalore,"Rashmi Daga (Founder, Freshmenu), Raveen Sastry (Co-Founder, Myntra) And Mitesh Shah (Finance Chief, Bookmyshow)",23/08/2019,Early stage,500000,3.74,,
2749,Tala,,,,Fintech,,Rps Ventures,23/08/2019,Series D to late stage,110000000,3.74,,
2750,Admitkard,,,,EdTech,Noida,Growth Dna,23/08/2019,Early stage,1000000,3.74,,
2751,Rapido Bike Taxi,,,,Transportation,Bangalore,Westbridge Capital,27/08/2019,Series B,3900000000,3.74,,
2752,Vyapar App,,,,Other,Bangalore,"India Quotient, Axilor Ventures",03/09/2019,Series A,5000000,3.74,,
2753,Cashflo,,,,Fintech,Greater Mumbai,Saif Partners,04/09/2019,Series A,3300000,3.74,,
2754,Digital F5,,,,Consulting,Greater Mumbai,Tiw Private Equity,04/09/2019,Other,6000000,3.74,,
2755,3Rdflix,,,,SaaS,Greater Hyderabad ,Exfinity Venture Partners,04/09/2019,Series A,5000000,3.74,,
2756,75F,,,,IT,,Breakthrough Energy Ventures,04/09/2019,Series A,18000000,3.74,,
2757,Myelin Foundry,2019.0,,,IT,Bangalore,Endiya Partners,04/09/2019,Early stage,1000000,3.74,,
2758,Atomberg Technology,,,,Consulting,Greater Mumbai,A91 Partners,04/09/2019,Series A,10000000,3.74,,
2759,Goqii,,,,Health & Fitness,,Bennett Coleman And Company Ltd (Bccl),04/09/2019,Series C,450000000,3.74,,
2760,Fpl Technologies,,,,Fintech,Pune,"Matrix Partners India, Sequoia India",05/09/2019,Other,4500000,3.74,,
2761,Ebikego,,,,Transportation,Amritsar,Startup Buddy,11/11/2019,Early stage,300000,3.74,,
2762,Supergaming,,,,Entertainment,Pune,Dream Incubator,12/11/2019,Early stage,1300000,3.74,,
